"SexM","age_gp16-75","age_gp75+","ur6_2016_nameOther Urban Areas","ur6_2016_nameAccessible Small Towns","ur6_2016_nameRemote Small Towns","ur6_2016_nameAccessible Rural","ur6_2016_nameRemote Rural","simd2020_sc_quintile2","simd2020_sc_quintile3","simd2020_sc_quintile4","simd2020_sc_quintile5","n_risk_gps1","n_risk_gps2","n_risk_gps3-4","n_risk_gps5+","last_positive_test_group0-13_weeks","last_positive_test_group14-26_weeks","last_positive_test_group27+_weeks","shielding","num_tests_6m_group1","num_tests_6m_group2","num_tests_6m_group3","num_tests_6m_group4-9","num_tests_6m_group10+","vaccine_deficit1","vaccine_deficit2","vaccine_deficit3","vaccine_deficit4"
-3.89128149523769e-05,0.000177943237604039,-3.76701166357099e-05,-0.000190725901820275,-0.00065042795457566,-0.000551504426564476,-0.000735772921095685,-0.00103716913185317,0.00157400720159172,0.00173091552048845,0.00397760243192457,0.001628018785046,0.000130452160529221,0.000225386467622448,0.00030684778350144,0.000344563103210545,4.90647777942854e-05,3.19111593094329e-05,8.70663142146445e-05,0.00016339717132778,-2.08598127210741e-05,-4.50889299855891e-06,3.9276959963085e-06,9.12074259093191e-05,0.000136857261334603,0.000225886740144862,0.000394386078763926,0.000381539681084873,0.000272614968540488
-5.83082629989388e-05,0.000235405114886438,-5.10428431865027e-05,0.000129323069184155,-0.000299475961611005,5.05855253675292e-05,-0.000288264976930729,-0.000139269754093006,0.00151115455666669,0.00157665065193131,0.001628018785046,0.00453299785326581,0.000158749335420754,0.000283385998942952,0.000394046192834762,0.00045592334355753,6.16040149397036e-05,4.58459728250128e-05,0.00010863154616391,0.000204565635921384,-2.95676970881049e-05,-5.25129799036621e-06,1.50810124910306e-06,9.89951320415583e-05,0.000139757272680057,0.00028821601042804,0.00050444326865024,0.000467869205442201,0.000357535862306424
1.28492649418951e-05,-0.00140076859443015,-0.0017580651469748,-9.83095650847837e-05,-8.3250742836942e-05,-0.00011567240762641,-4.60158754539806e-05,-0.00017255599364629,4.71891996877834e-05,9.06904888757068e-05,0.000130452160529221,0.000158749335420754,0.00392544289908602,0.00263796853112584,0.0027482985837072,0.00281107897180248,1.99778628433319e-05,0.000124196478018803,3.37425027020338e-05,-0.00013045084818884,-0.000310446878463296,-0.000363420107457917,-0.000403342012719045,-0.000434421710410418,-0.000407041454697508,0.000147620303419302,0.00022478715426689,0.000451545604308297,0.000242108215369563
-1.43478130085801e-05,-0.00151107042452239,-0.0024631602297588,-0.000113585557898918,-0.000101564661347321,-0.000148575344939748,-4.02070898868398e-05,-0.000230664830426937,8.19211695233288e-05,0.000147908939176368,0.000225386467622448,0.000283385998942952,0.00263796853112584,0.00469513421849959,0.00330679732991996,0.00347757408793217,9.1910180464391e-05,0.000246640083935119,8.83984327402686e-05,-0.000430209011848061,-0.000346958061407438,-0.000457301720204187,-0.000548418908056869,-0.000616183905831548,-0.000509120546117312,0.000244775417468947,0.000305729585693395,0.000622204023237298,0.00034568716307217
-3.65732026029828e-05,-0.00142646791221501,-0.00281077274823102,-0.000112365674874711,-0.000117770772038693,-0.000140700540089487,-3.76281561151146e-05,-0.000264283057836949,0.000118998638887235,0.000203267071326015,0.00030684778350144,0.000394046192834762,0.0027482985837072,0.00330679732991996,0.00518779038436899,0.00399905310734924,0.000108092201590329,0.000275134202664206,7.31758416505426e-05,-0.000803085833993457,-0.000400906737031449,-0.000548633156397861,-0.000674604187913809,-0.000807252943876919,-0.000677529459964799,0.000261740478374174,0.000333531059913267,0.000625868589530106,0.000406068134645049
-4.69080045829598e-05,-0.00139035213990266,-0.00298439521340885,-9.0317162663144e-05,-0.000129807782398126,-0.000149136954747762,-1.82749253296393e-05,-0.000374734005562625,0.000117947510719454,0.000214752190838948,0.000344563103210545,0.00045592334355753,0.00281107897180248,0.00347757408793217,0.00399905310734924,0.00965654965135732,0.00011087780249372,0.000256413917064397,2.4260675551902e-05,-0.0012535993819023,-0.000454796539385617,-0.000643519039341824,-0.000792393172220317,-0.00098739016896398,-0.000862571002794927,0.00025339766094841,0.00027870789841056,0.000552026993224621,0.000265860400559956
2.15442193612981e-05,-9.91775914839567e-05,9.83911575314304e-05,-4.22004114584224e-05,4.46028445498849e-06,1.80829624013386e-05,2.11779312444463e-05,-8.33600672488513e-06,1.80991697452194e-05,4.23807894801655e-05,4.90647777942854e-05,6.16040149397036e-05,1.99778628433319e-05,9.1910180464391e-05,0.000108092201590329,0.00011087780249372,0.0222266646596118,0.000493311779517217,0.000464464031268702,4.92286107810576e-05,-0.000323105689733785,-0.000472806084310092,-0.000525485545589349,-0.00056706281408426,-0.000692794095318528,-0.000118565324107971,-0.000113742024091735,-0.000243366825106855,-9.45969104848858e-05
2.16223703737136e-05,-6.88927853926886e-05,0.000261380215706762,-1.46286753309969e-05,2.76192176719465e-05,8.98608152583643e-05,4.19051796695104e-05,0.000107164561167882,4.05241521318474e-06,2.85156545055591e-05,3.19111593094329e-05,4.58459728250128e-05,0.000124196478018803,0.000246640083935119,0.000275134202664206,0.000256413917064397,0.000493311779517217,0.100605036437379,0.000494469507690155,7.21107888604965e-05,-0.000504230458901708,-0.000591185960329881,-0.000544222541590414,-0.000491365324362446,-0.000410517716253163,-0.000182463496653157,-0.000201717421076691,-0.000258272508505226,-9.29117321348908e-05
5.36214818164428e-05,-3.04720782132986e-05,0.000179277831906021,2.39343894468796e-05,9.630266894403e-05,0.000191867595959357,0.00010312132860504,0.000231543342581965,3.47029366762151e-05,7.39700410755593e-05,8.70663142146445e-05,0.00010863154616391,3.37425027020338e-05,8.83984327402686e-05,7.31758416505426e-05,2.4260675551902e-05,0.000464464031268702,0.000494469507690155,0.100471475820938,6.57203568708929e-05,-0.000154102721045434,-0.000170811289373493,-0.000181881362655572,-0.000256814334244761,-0.00034094519020654,-4.86913393046401e-05,-0.000107981160891858,-0.000162809654345257,-6.03244407616887e-05
4.91712043549121e-06,-0.000106018991702228,-1.04412555551012e-05,3.54182555181943e-05,3.47113911383644e-05,3.71997808130076e-06,7.67002650686655e-06,6.60137592556354e-05,6.83453281220584e-05,0.00012553108691451,0.00016339717132778,0.000204565635921384,-0.00013045084818884,-0.000430209011848061,-0.000803085833993457,-0.0012535993819023,4.92286107810576e-05,7.21107888604965e-05,6.57203568708929e-05,0.00341186345575405,1.66475879051629e-05,-2.2721884505298e-05,-7.53203737520988e-05,-7.30224619723006e-05,-3.05379601291164e-05,2.83591316277358e-05,7.88801387422575e-05,0.000311318756499492,0.000614214067725254
4.63918948872676e-05,0.000187592939388054,0.000406497522400008,-2.40787955639555e-05,-1.28068995278249e-05,-2.44153587363257e-06,-1.65236332341433e-05,2.34211504690285e-05,1.60341141626228e-07,2.3905654997108e-06,-2.08598127210741e-05,-2.95676970881049e-05,-0.000310446878463296,-0.000346958061407438,-0.000400906737031449,-0.000454796539385617,-0.000323105689733785,-0.000504230458901708,-0.000154102721045434,1.66475879051629e-05,0.0218182919451366,0.0206669172736882,0.0206730124670101,0.0206761099913644,0.0206985734422721,-9.1875129094735e-06,5.77687507618957e-05,0.000786449009924412,0.00138575591683627
7.45139429959437e-05,6.20501166970763e-05,0.000234638568146445,-1.09865595880542e-05,8.53030922185358e-06,1.55959364960003e-05,-2.15340774545033e-06,4.75692340624476e-05,2.88784691889433e-07,7.89029878772439e-06,-4.50889299855891e-06,-5.25129799036621e-06,-0.000363420107457917,-0.000457301720204187,-0.000548633156397861,-0.000643519039341824,-0.000472806084310092,-0.000591185960329881,-0.000170811289373493,-2.2721884505298e-05,0.0206669172736882,0.0226806103800788,0.0207244448697035,0.0207506854823697,0.0207554632160568,-2.08183263695716e-05,1.87275561416619e-05,0.000779991399823198,0.00134971817420701
0.000113951075941719,-5.80244554888007e-05,-2.26097640748868e-05,-1.19221271518427e-05,1.79178341945516e-05,1.83662833858039e-05,-2.05150211724383e-06,8.24279014081081e-05,6.58999431241555e-06,2.64733791769959e-05,3.9276959963085e-06,1.50810124910306e-06,-0.000403342012719045,-0.000548418908056869,-0.000674604187913809,-0.000792393172220317,-0.000525485545589349,-0.000544222541590414,-0.000181881362655572,-7.53203737520988e-05,0.0206730124670101,0.0207244448697035,0.02392822677848,0.0208418940748786,0.0208163784761802,-4.11131656813447e-05,-3.65086185159508e-05,0.000763191821805541,0.00134998349733256
