"label","levels","AZ","AZ_AZ","AZ_AZ_AZ","AZ_AZ_AZ_AZ","AZ_AZ_AZ_AZ_AZ","AZ_AZ_Mo","AZ_AZ_Mo_Mo","AZ_AZ_Mo_Mo_Mo","AZ_AZ_Mo_PB","AZ_AZ_PB","AZ_AZ_PB_Mo","AZ_AZ_PB_Mo_Mo","AZ_AZ_PB_PB","AZ_AZ_PB_PB_Mo","AZ_AZ_PB_PB_PB","AZ_Mo","AZ_Mo_Mo","AZ_Mo_Mo_Mo","AZ_PB","AZ_PB_PB","AZ_PB_PB_PB","Mo","Mo_Mo","Mo_Mo_Mo","Mo_Mo_Mo_Mo","Mo_Mo_Mo_Mo_Mo","Mo_Mo_PB","Mo_PB","PB","PB_AZ","PB_Mo","PB_Mo_Mo","PB_PB","PB_PB_Mo","PB_PB_Mo_Mo","PB_PB_Mo_PB","PB_PB_PB","PB_PB_PB_Mo","PB_PB_PB_Mo_Mo","PB_PB_PB_PB","PB_PB_PB_PB_Mo","PB_PB_PB_PB_PB","uv","v2_mixed","v3_mixed","v4_mixed","v5_mixed"
NA,"6-10","1243 (0.6)","7288 (3.3)","108 (0.0)","4 (0.0)","0 (0.0)","10677 (4.8)","416 (0.2)","20 (0.0)","66 (0.0)","20074 (9.1)","420 (0.2)","41 (0.0)","944 (0.4)","43 (0.0)","77 (0.0)","79 (0.0)","0 (0.0)","0 (0.0)","249 (0.1)","65 (0.0)","1 (0.0)","1187 (0.5)","3122 (1.4)","3092 (1.4)","7 (0.0)","0 (0.0)","1193 (0.5)","209 (0.1)","15041 (6.8)","0 (0.0)","123 (0.1)","1 (0.0)","31138 (14.1)","10756 (4.9)","102 (0.0)","23 (0.0)","24907 (11.3)","234 (0.1)","22 (0.0)","1463 (0.7)","16 (0.0)","38 (0.0)","85993 (39.0)","15 (0.0)","135 (0.1)","42 (0.0)","23 (0.0)"
NA,"11-30","87 (0.4)","419 (1.8)","4 (0.0)","2 (0.0)","0 (0.0)","488 (2.1)","45 (0.2)","0 (0.0)","10 (0.0)","668 (2.9)","29 (0.1)","0 (0.0)","217 (0.9)","3 (0.0)","4 (0.0)","8 (0.0)","0 (0.0)","0 (0.0)","19 (0.1)","11 (0.0)","0 (0.0)","92 (0.4)","192 (0.8)","160 (0.7)","0 (0.0)","0 (0.0)","33 (0.1)","9 (0.0)","957 (4.2)","0 (0.0)","15 (0.1)","0 (0.0)","2152 (9.4)","490 (2.1)","17 (0.1)","12 (0.1)","1763 (7.7)","291 (1.3)","1 (0.0)","3384 (14.7)","0 (0.0)","5 (0.0)","11387 (49.5)","9 (0.0)","14 (0.1)","17 (0.1)","2 (0.0)"
NA,"31-100","38 (0.2)","131 (0.5)","1 (0.0)","2 (0.0)","0 (0.0)","74 (0.3)","11 (0.0)","0 (0.0)","5 (0.0)","209 (0.9)","8 (0.0)","0 (0.0)","194 (0.8)","0 (0.0)","2 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","15 (0.1)","4 (0.0)","1 (0.0)","26 (0.1)","36 (0.1)","31 (0.1)","0 (0.0)","0 (0.0)","8 (0.0)","1 (0.0)","918 (3.8)","0 (0.0)","3 (0.0)","0 (0.0)","2290 (9.5)","149 (0.6)","6 (0.0)","24 (0.1)","2336 (9.7)","676 (2.8)","0 (0.0)","5429 (22.4)","1 (0.0)","7 (0.0)","11511 (47.6)","9 (0.0)","17 (0.1)","22 (0.1)","1 (0.0)"
NA,"101+","32 (0.3)","83 (0.9)","0 (0.0)","0 (0.0)","0 (0.0)","84 (0.9)","11 (0.1)","0 (0.0)","5 (0.1)","284 (3.0)","8 (0.1)","0 (0.0)","36 (0.4)","0 (0.0)","0 (0.0)","2 (0.0)","0 (0.0)","0 (0.0)","6 (0.1)","4 (0.0)","0 (0.0)","29 (0.3)","38 (0.4)","36 (0.4)","0 (0.0)","0 (0.0)","11 (0.1)","5 (0.1)","310 (3.2)","0 (0.0)","7 (0.1)","0 (0.0)","844 (8.8)","171 (1.8)","1 (0.0)","5 (0.1)","838 (8.8)","134 (1.4)","0 (0.0)","798 (8.3)","0 (0.0)","0 (0.0)","5775 (60.4)","1 (0.0)","4 (0.0)","3 (0.0)","1 (0.0)"
"BMI","10-18.5","559 (0.8)","2193 (3.2)","45 (0.1)","9 (0.0)","2 (0.0)","3215 (4.8)","1109 (1.6)","34 (0.1)","218 (0.3)","7205 (10.7)","1205 (1.8)","60 (0.1)","3509 (5.2)","56 (0.1)","113 (0.2)","18 (0.0)","4 (0.0)","0 (0.0)","77 (0.1)","59 (0.1)","1 (0.0)","395 (0.6)","843 (1.2)","1075 (1.6)","4 (0.0)","0 (0.0)","460 (0.7)","56 (0.1)","3775 (5.6)","0 (0.0)","78 (0.1)","0 (0.0)","8973 (13.3)","3803 (5.6)","150 (0.2)","25 (0.0)","8967 (13.3)","369 (0.5)","16 (0.0)","1712 (2.5)","13 (0.0)","55 (0.1)","16942 (25.1)","5 (0.0)","67 (0.1)","64 (0.1)","51 (0.1)"
NA,"18.5-25","3257 (0.6)","16362 (3.0)","570 (0.1)","77 (0.0)","11 (0.0)","42051 (7.7)","12054 (2.2)","342 (0.1)","1960 (0.4)","99007 (18.1)","14800 (2.7)","639 (0.1)","37904 (6.9)","674 (0.1)","1403 (0.3)","149 (0.0)","14 (0.0)","1 (0.0)","577 (0.1)","342 (0.1)","2 (0.0)","2779 (0.5)","6935 (1.3)","12424 (2.3)","30 (0.0)","0 (0.0)","4858 (0.9)","363 (0.1)","9865 (1.8)","0 (0.0)","441 (0.1)","6 (0.0)","36541 (6.7)","49707 (9.1)","1984 (0.4)","265 (0.0)","108426 (19.8)","4287 (0.8)","229 (0.0)","16359 (3.0)","216 (0.0)","707 (0.1)","58160 (10.6)","36 (0.0)","489 (0.1)","486 (0.1)","513 (0.1)"
NA,"25-30","3077 (0.5)","19587 (2.9)","948 (0.1)","126 (0.0)","6 (0.0)","61803 (9.2)","16609 (2.5)","474 (0.1)","2566 (0.4)","170194 (25.3)","21697 (3.2)","921 (0.1)","56295 (8.4)","1014 (0.2)","2048 (0.3)","178 (0.0)","19 (0.0)","0 (0.0)","624 (0.1)","418 (0.1)","1 (0.0)","1772 (0.3)","4823 (0.7)","8889 (1.3)","28 (0.0)","3 (0.0)","3776 (0.6)","223 (0.0)","6218 (0.9)","1 (0.0)","258 (0.0)","2 (0.0)","26525 (3.9)","49401 (7.3)","3626 (0.5)","399 (0.1)","132748 (19.7)","7101 (1.1)","381 (0.1)","25911 (3.9)","348 (0.1)","1122 (0.2)","38292 (5.7)","26 (0.0)","479 (0.1)","651 (0.1)","700 (0.1)"
NA,"30-35","2015 (0.5)","13174 (3.1)","772 (0.2)","75 (0.0)","9 (0.0)","42563 (9.9)","8986 (2.1)","303 (0.1)","1333 (0.3)","126163 (29.3)","11673 (2.7)","540 (0.1)","31225 (7.3)","617 (0.1)","1289 (0.3)","94 (0.0)","10 (0.0)","0 (0.0)","435 (0.1)","260 (0.1)","0 (0.0)","869 (0.2)","2274 (0.5)","4068 (0.9)","15 (0.0)","1 (0.0)","1899 (0.4)","123 (0.0)","3281 (0.8)","0 (0.0)","114 (0.0)","1 (0.0)","14596 (3.4)","28617 (6.6)","2428 (0.6)","264 (0.1)","88946 (20.7)","4358 (1.0)","253 (0.1)","15285 (3.5)","239 (0.1)","749 (0.2)","19589 (4.5)","26 (0.0)","324 (0.1)","380 (0.1)","412 (0.1)"
NA,"35-40","997 (0.5)","6584 (3.3)","390 (0.2)","45 (0.0)","8 (0.0)","20610 (10.4)","3069 (1.6)","123 (0.1)","427 (0.2)","61814 (31.2)","4017 (2.0)","246 (0.1)","10807 (5.5)","235 (0.1)","574 (0.3)","46 (0.0)","2 (0.0)","0 (0.0)","224 (0.1)","94 (0.0)","0 (0.0)","407 (0.2)","1095 (0.6)","1853 (0.9)","7 (0.0)","0 (0.0)","964 (0.5)","75 (0.0)","1544 (0.8)","0 (0.0)","46 (0.0)","2 (0.0)","7057 (3.6)","13105 (6.6)","1011 (0.5)","121 (0.1)","43083 (21.8)","1655 (0.8)","112 (0.1)","5681 (2.9)","108 (0.1)","366 (0.2)","8731 (4.4)","10 (0.0)","156 (0.1)","169 (0.1)","171 (0.1)"
NA,"40+","993 (0.7)","6718 (5.0)","375 (0.3)","16 (0.0)","5 (0.0)","17927 (13.4)","1353 (1.0)","89 (0.1)","206 (0.2)","48116 (36.0)","1703 (1.3)","157 (0.1)","4710 (3.5)","134 (0.1)","324 (0.2)","46 (0.0)","0 (0.0)","0 (0.0)","205 (0.2)","99 (0.1)","0 (0.0)","224 (0.2)","394 (0.3)","567 (0.4)","3 (0.0)","1 (0.0)","224 (0.2)","30 (0.0)","874 (0.7)","1 (0.0)","28 (0.0)","0 (0.0)","3522 (2.6)","6867 (5.1)","438 (0.3)","49 (0.0)","27845 (20.8)","784 (0.6)","64 (0.0)","2560 (1.9)","50 (0.0)","208 (0.2)","5398 (4.0)","4 (0.0)","125 (0.1)","99 (0.1)","123 (0.1)"
