"label","levels","AZ","AZ_AZ","AZ_AZ_AZ","AZ_AZ_AZ_AZ","AZ_AZ_AZ_AZ_AZ","AZ_AZ_Mo","AZ_AZ_Mo_Mo","AZ_AZ_Mo_Mo_Mo","AZ_AZ_Mo_PB","AZ_AZ_PB","AZ_AZ_PB_Mo","AZ_AZ_PB_Mo_Mo","AZ_AZ_PB_PB","AZ_AZ_PB_PB_Mo","AZ_AZ_PB_PB_PB","AZ_Mo","AZ_Mo_Mo","AZ_Mo_Mo_Mo","AZ_PB","AZ_PB_PB","AZ_PB_PB_PB","Mo","Mo_Mo","Mo_Mo_Mo","Mo_Mo_Mo_Mo","Mo_Mo_Mo_Mo_Mo","Mo_Mo_PB","Mo_PB","PB","PB_AZ","PB_Mo","PB_Mo_Mo","PB_PB","PB_PB_Mo","PB_PB_Mo_Mo","PB_PB_Mo_PB","PB_PB_PB","PB_PB_PB_Mo","PB_PB_PB_Mo_Mo","PB_PB_PB_PB","PB_PB_PB_PB_Mo","PB_PB_PB_PB_PB","uv","v2_mixed","v3_mixed","v4_mixed","v5_mixed"
"Neurological conditions","","23 (0.3)","161 (2.2)","8 (0.1)","6 (0.1)","0 (0.0)","559 (7.8)","594 (8.3)","18 (0.3)","93 (1.3)","1395 (19.4)","632 (8.8)","32 (0.4)","1493 (20.7)","48 (0.7)","102 (1.4)","2 (0.0)","0 (0.0)","0 (0.0)","3 (0.0)","7 (0.1)","0 (0.0)","2 (0.0)","2 (0.0)","2 (0.0)","0 (0.0)","0 (0.0)","1 (0.0)","0 (0.0)","34 (0.5)","0 (0.0)","1 (0.0)","0 (0.0)","137 (1.9)","169 (2.3)","65 (0.9)","4 (0.1)","604 (8.4)","157 (2.2)","14 (0.2)","456 (6.3)","15 (0.2)","34 (0.5)","275 (3.8)","1 (0.0)","8 (0.1)","16 (0.2)","25 (0.3)"
"Parkinson’s","","118 (0.5)","616 (2.6)","65 (0.3)","15 (0.1)","0 (0.0)","2152 (8.9)","1497 (6.2)","54 (0.2)","201 (0.8)","5574 (23.2)","1533 (6.4)","84 (0.3)","4062 (16.9)","123 (0.5)","237 (1.0)","6 (0.0)","1 (0.0)","0 (0.0)","26 (0.1)","17 (0.1)","0 (0.0)","18 (0.1)","19 (0.1)","14 (0.1)","0 (0.0)","0 (0.0)","9 (0.0)","1 (0.0)","125 (0.5)","0 (0.0)","7 (0.0)","0 (0.0)","386 (1.6)","824 (3.4)","223 (0.9)","13 (0.1)","3084 (12.8)","382 (1.6)","44 (0.2)","1462 (6.1)","30 (0.1)","102 (0.4)","771 (3.2)","1 (0.0)","22 (0.1)","52 (0.2)","80 (0.3)"
"Pulmonary hypertension","","73 (0.6)","449 (3.8)","21 (0.2)","3 (0.0)","0 (0.0)","895 (7.5)","620 (5.2)","9 (0.1)","84 (0.7)","3030 (25.5)","761 (6.4)","31 (0.3)","1896 (15.9)","29 (0.2)","60 (0.5)","1 (0.0)","4 (0.0)","0 (0.0)","12 (0.1)","15 (0.1)","1 (0.0)","6 (0.1)","6 (0.1)","8 (0.1)","0 (0.0)","0 (0.0)","4 (0.0)","1 (0.0)","37 (0.3)","0 (0.0)","1 (0.0)","0 (0.0)","140 (1.2)","476 (4.0)","113 (0.9)","6 (0.1)","1543 (13.0)","252 (2.1)","13 (0.1)","839 (7.1)","5 (0.0)","28 (0.2)","363 (3.0)","3 (0.0)","11 (0.1)","29 (0.2)","22 (0.2)"
"Cystic fibrosis, bronchiectasis or alveolitis","","505 (0.6)","2866 (3.2)","200 (0.2)","56 (0.1)","14 (0.0)","6670 (7.5)","4070 (4.6)","554 (0.6)","589 (0.7)","17690 (19.9)","5067 (5.7)","929 (1.0)","12226 (13.7)","1004 (1.1)","2151 (2.4)","20 (0.0)","4 (0.0)","0 (0.0)","105 (0.1)","46 (0.1)","2 (0.0)","88 (0.1)","215 (0.2)","348 (0.4)","40 (0.0)","3 (0.0)","146 (0.2)","20 (0.0)","506 (0.6)","0 (0.0)","12 (0.0)","3 (0.0)","1966 (2.2)","2984 (3.4)","1254 (1.4)","179 (0.2)","10380 (11.7)","2390 (2.7)","441 (0.5)","6473 (7.3)","399 (0.4)","1314 (1.5)","3860 (4.3)","2 (0.0)","40 (0.0)","347 (0.4)","771 (0.9)"
"Peripheral vascular disease","","22 (0.4)","200 (3.7)","11 (0.2)","0 (0.0)","1 (0.0)","528 (9.7)","278 (5.1)","26 (0.5)","46 (0.8)","1337 (24.6)","346 (6.4)","40 (0.7)","717 (13.2)","53 (1.0)","82 (1.5)","2 (0.0)","0 (0.0)","0 (0.0)","6 (0.1)","5 (0.1)","0 (0.0)","4 (0.1)","4 (0.1)","6 (0.1)","1 (0.0)","0 (0.0)","5 (0.1)","0 (0.0)","16 (0.3)","0 (0.0)","2 (0.0)","0 (0.0)","79 (1.5)","200 (3.7)","72 (1.3)","4 (0.1)","678 (12.5)","110 (2.0)","14 (0.3)","295 (5.4)","12 (0.2)","32 (0.6)","142 (2.6)","1 (0.0)","2 (0.0)","24 (0.4)","40 (0.7)"
"SLE or rheumatoid arthritis","","371 (1.9)","1419 (7.4)","30 (0.2)","2 (0.0)","0 (0.0)","2874 (14.9)","237 (1.2)","6 (0.0)","52 (0.3)","6492 (33.8)","306 (1.6)","11 (0.1)","894 (4.7)","15 (0.1)","28 (0.1)","9 (0.0)","1 (0.0)","0 (0.0)","69 (0.4)","24 (0.1)","0 (0.0)","59 (0.3)","55 (0.3)","49 (0.3)","1 (0.0)","0 (0.0)","15 (0.1)","4 (0.0)","218 (1.1)","0 (0.0)","7 (0.0)","0 (0.0)","443 (2.3)","674 (3.5)","50 (0.3)","16 (0.1)","2051 (10.7)","144 (0.7)","8 (0.0)","674 (3.5)","2 (0.0)","12 (0.1)","1838 (9.6)","1 (0.0)","30 (0.2)","26 (0.1)","8 (0.0)"
"Lung, oral cancer","","2 (0.7)","13 (4.3)","0 (0.0)","0 (0.0)","0 (0.0)","40 (13.1)","2 (0.7)","0 (0.0)","1 (0.3)","33 (10.8)","2 (0.7)","0 (0.0)","4 (1.3)","0 (0.0)","0 (0.0)","1 (0.3)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","4 (1.3)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","13 (4.3)","0 (0.0)","0 (0.0)","0 (0.0)","33 (10.8)","15 (4.9)","2 (0.7)","0 (0.0)","31 (10.2)","2 (0.7)","0 (0.0)","2 (0.7)","0 (0.0)","0 (0.0)","102 (33.6)","0 (0.0)","1 (0.3)","1 (0.3)","0 (0.0)"
"Severe mental illness","","627 (0.5)","3390 (2.9)","160 (0.1)","41 (0.0)","3 (0.0)","8101 (7.0)","6348 (5.5)","104 (0.1)","1060 (0.9)","26372 (22.8)","7151 (6.2)","197 (0.2)","22707 (19.6)","215 (0.2)","505 (0.4)","30 (0.0)","10 (0.0)","0 (0.0)","150 (0.1)","155 (0.1)","0 (0.0)","52 (0.0)","47 (0.0)","49 (0.0)","3 (0.0)","0 (0.0)","14 (0.0)","2 (0.0)","307 (0.3)","0 (0.0)","21 (0.0)","0 (0.0)","1277 (1.1)","4595 (4.0)","895 (0.8)","117 (0.1)","15241 (13.2)","2008 (1.7)","60 (0.1)","9908 (8.6)","53 (0.0)","214 (0.2)","2844 (2.5)","9 (0.0)","128 (0.1)","280 (0.2)","179 (0.2)"
"Sickle cell disease or combined immune deficiency syndrome","","412 (1.0)","1709 (4.1)","87 (0.2)","22 (0.1)","2 (0.0)","4078 (9.7)","1753 (4.2)","79 (0.2)","283 (0.7)","11079 (26.5)","1962 (4.7)","130 (0.3)","5995 (14.3)","157 (0.4)","319 (0.8)","14 (0.0)","2 (0.0)","1 (0.0)","73 (0.2)","81 (0.2)","1 (0.0)","55 (0.1)","79 (0.2)","60 (0.1)","5 (0.0)","0 (0.0)","15 (0.0)","4 (0.0)","235 (0.6)","1 (0.0)","9 (0.0)","0 (0.0)","590 (1.4)","1478 (3.5)","260 (0.6)","33 (0.1)","5158 (12.3)","575 (1.4)","67 (0.2)","2545 (6.1)","46 (0.1)","195 (0.5)","1915 (4.6)","4 (0.0)","45 (0.1)","84 (0.2)","131 (0.3)"
"Stroke, transient ischaemic attack","","236 (1.0)","1356 (6.0)","29 (0.1)","0 (0.0)","0 (0.0)","3483 (15.4)","257 (1.1)","20 (0.1)","49 (0.2)","8357 (37.0)","266 (1.2)","22 (0.1)","825 (3.7)","41 (0.2)","87 (0.4)","5 (0.0)","0 (0.0)","0 (0.0)","18 (0.1)","20 (0.1)","1 (0.0)","26 (0.1)","26 (0.1)","24 (0.1)","0 (0.0)","0 (0.0)","7 (0.0)","4 (0.0)","138 (0.6)","0 (0.0)","6 (0.0)","0 (0.0)","452 (2.0)","831 (3.7)","68 (0.3)","15 (0.1)","3835 (17.0)","164 (0.7)","14 (0.1)","410 (1.8)","14 (0.1)","59 (0.3)","1356 (6.0)","3 (0.0)","12 (0.1)","20 (0.1)","34 (0.2)"
"Venous thromboembolism","","2834 (1.1)","12189 (4.6)","506 (0.2)","64 (0.0)","6 (0.0)","25915 (9.8)","8921 (3.4)","223 (0.1)","1430 (0.5)","73261 (27.7)","11368 (4.3)","455 (0.2)","31372 (11.8)","437 (0.2)","1019 (0.4)","75 (0.0)","13 (0.0)","1 (0.0)","277 (0.1)","200 (0.1)","3 (0.0)","239 (0.1)","204 (0.1)","137 (0.1)","2 (0.0)","0 (0.0)","45 (0.0)","11 (0.0)","1383 (0.5)","0 (0.0)","39 (0.0)","1 (0.0)","4416 (1.7)","12936 (4.9)","1977 (0.7)","221 (0.1)","42735 (16.1)","3883 (1.5)","158 (0.1)","13353 (5.0)","154 (0.1)","501 (0.2)","10783 (4.1)","63 (0.0)","206 (0.1)","409 (0.2)","321 (0.1)"
