"label","levels","0","1","2","3","4","5"
"Epilepsy","","7 (0.0)","0 (0.0)","2 (0.0)","17 (0.0)","69 (0.0)","2 (0.0)"
"Hip, wrist, spine, humerus fracture","","9 (0.0)","1 (0.0)","6 (0.0)","51 (0.0)","160 (0.0)","28 (0.5)"
"HIV/AIDS","","45 (0.0)","10 (0.1)","56 (0.2)","769 (0.5)","1844 (0.5)","150 (2.5)"
"Severe combine immunodeficiency","","68 (0.1)","16 (0.2)","132 (0.4)","1659 (1.1)","4190 (1.0)","33 (0.6)"
"Neurological conditions","","49 (0.0)","4 (0.0)","83 (0.2)","1128 (0.7)","3019 (0.7)","91 (1.5)"
"Parkinson’s","","145 (0.1)","30 (0.3)","197 (0.6)","2670 (1.7)","7686 (1.9)","223 (3.8)"
"Pulmonary hypertension","","92 (0.1)","10 (0.1)","178 (0.5)","1574 (1.0)","4003 (1.0)","69 (1.2)"
"Cystic fibrosis, bronchiectasis or alveolitis","","255 (0.2)","61 (0.6)","400 (1.2)","4607 (3.0)","14624 (3.6)","1088 (18.3)"
"Peripheral vascular disease","","33 (0.0)","6 (0.1)","65 (0.2)","597 (0.4)","1362 (0.3)","97 (1.6)"
"SLE or rheumatoid arthritis","","108 (0.1)","32 (0.3)","96 (0.3)","803 (0.5)","1555 (0.4)","14 (0.2)"
"Lung, oral cancer","","0 (0.0)","0 (0.0)","0 (0.0)","1 (0.0)","4 (0.0)","0 (0.0)"
"Severe mental illness","","1052 (1.0)","237 (2.4)","1573 (4.7)","15603 (10.1)","44773 (11.0)","589 (9.9)"
"Sickle cell disease or combined immune deficiency syndrome","","213 (0.2)","55 (0.6)","388 (1.2)","3985 (2.6)","11034 (2.7)","298 (5.0)"
"Stroke, transient ischaemic attack","","73 (0.1)","28 (0.3)","118 (0.4)","514 (0.3)","1151 (0.3)","12 (0.2)"
"Venous thromboembolism","","3987 (3.8)","2044 (20.6)","6638 (20.0)","25139 (16.3)","62095 (15.2)","881 (14.8)"
