"(Intercept)","SexM","age_gp_218-24","age_gp_225-29","age_gp_230-34","age_gp_235-39","age_gp_240-44","age_gp_245-49","age_gp_250-54","age_gp_255-59","age_gp_260-64","age_gp_265-69","age_gp_270-74","ur6_2016_nameOther Urban Areas","ur6_2016_nameAccessible Small Towns","ur6_2016_nameRemote Small Towns","ur6_2016_nameAccessible Rural","ur6_2016_nameRemote Rural","simd2020_sc_quintile2","simd2020_sc_quintile3","simd2020_sc_quintile4","simd2020_sc_quintile5","n_risk_gps1","n_risk_gps2","n_risk_gps3-4","n_risk_gps5+"
-0.000444383306920326,-6.15165352349684e-07,0.00044355077614245,0.000443678290763647,0.000443758225817423,0.000443789740009256,0.000443791251241825,0.000443800153768526,0.000443843494063513,0.000443916532601709,0.000464937050719746,0.000444087454843486,0.000444172230521973,9.0778247707163e-07,8.39201795760871e-07,7.23317024153623e-07,8.19056739949824e-07,6.57906345731324e-07,2.53884238784686e-07,4.46729432268655e-07,1.04395210027348e-06,1.43726189521769e-06,-3.2379374426065e-07,-1.89066963941305e-06,-3.28318752266645e-06,-3.68602763823753e-06
-0.000444248290980241,-5.98752368223776e-07,0.000443531533542064,0.000443663431701746,0.000443749336419558,0.000443782095483495,0.000443788455991071,0.00044380700761323,0.00044386710404955,0.000443965294002317,0.000444087454843486,0.000471419244821698,0.000444382566314537,9.15761926436907e-07,8.17412572507537e-07,6.39074738112723e-07,7.99956645909749e-07,6.0051544254737e-07,1.98243004991032e-07,3.5851861195832e-07,9.50252742988006e-07,1.3228965357148e-06,-4.74088217958827e-07,-2.56305272750771e-06,-5.16040335586341e-06,-7.14479992622274e-06
-0.000443984728770775,-5.66549020991961e-07,0.000443496817464452,0.000443619747867684,0.000443708770920238,0.000443742705037875,0.000443757094137656,0.000443789198523945,0.000443870947780343,0.00044400013190359,0.000444172230521973,0.000444382566314537,0.000477834013300438,8.17167689449203e-07,7.13274827297799e-07,4.44103098406952e-07,6.81913774582972e-07,4.28679409052299e-07,8.98306024419738e-08,2.04309878810178e-07,7.87571726685531e-07,1.10611766648686e-06,-5.75256448265753e-07,-3.2746722259034e-06,-7.7491360819827e-06,-1.3330574284319e-05
-3.85990963185455e-06,-6.06666793345674e-08,5.21639085897443e-07,1.25847729285077e-06,1.27758862053414e-06,1.18310000930478e-06,1.03965499239091e-06,9.40084647011873e-07,8.41149207021805e-07,8.51746100544835e-07,9.0778247707163e-07,9.15761926436907e-07,8.17167689449203e-07,7.03310679815084e-06,3.22504887331687e-06,3.44143014935389e-06,3.25380280723813e-06,3.45924534536209e-06,-5.80278878563698e-07,-5.26270189718026e-07,-4.17647533878198e-07,5.74804235323777e-07,-3.64065195996654e-07,-4.11242297690674e-07,-2.0872075101599e-07,8.92784819107833e-08
-3.09009274847528e-06,-5.05275330594468e-08,4.75680888660573e-07,1.19390899476931e-06,1.38944467292065e-06,1.29491945680441e-06,1.13362924686867e-06,9.9505883250086e-07,8.35178288997632e-07,7.97058784340219e-07,8.39201795760871e-07,8.17412572507537e-07,7.13274827297799e-07,3.22504887331687e-06,1.8691990883333e-05,3.53059674248038e-06,3.49955791875608e-06,3.75294371984821e-06,-1.0600056090927e-06,-1.53018275052319e-06,-1.86391460587694e-06,-9.30713842981196e-07,-2.891712455759e-07,-3.3986366464437e-07,-2.12619680341482e-07,-6.14317658543603e-08
-3.16475796894932e-06,-9.30628027915292e-08,4.97778140438687e-07,1.29566379848785e-06,1.30820586915282e-06,1.23782053155211e-06,1.12544313254459e-06,9.59229797338533e-07,7.99692937229679e-07,7.33776560915573e-07,7.23317024153623e-07,6.39074738112723e-07,4.44103098406952e-07,3.44143014935389e-06,3.53059674248038e-06,3.41755280560156e-05,3.66443395338363e-06,4.34020046654764e-06,-1.0888312580787e-06,-2.88355107616329e-06,-1.64742351630785e-06,3.970871176951e-07,-3.79292972351729e-07,-5.19990476921297e-07,-3.59088019901358e-07,-1.73023269897592e-07
-3.09229528865854e-06,-5.80496304034586e-08,5.95112445467533e-07,1.40534773164845e-06,1.38843302654799e-06,1.26063537956931e-06,1.11160348122927e-06,9.84329439899611e-07,8.43485332485211e-07,7.98707033243844e-07,8.19056739949824e-07,7.99956645909749e-07,6.81913774582972e-07,3.25380280723813e-06,3.49955791875608e-06,3.66443395338363e-06,1.92089496324252e-05,3.93582849469666e-06,-1.02310479736237e-06,-1.85801003269272e-06,-2.23389190498742e-06,-8.02119752301931e-07,-1.5601801902501e-07,-1.39751217852322e-07,2.63832739611438e-08,2.16826428198351e-07
-2.57780875383377e-06,-9.0089428723679e-08,4.62549255363091e-07,1.37006430562075e-06,1.37219947858153e-06,1.2843851865544e-06,1.11699210925366e-06,9.27661067531205e-07,7.42476504448922e-07,6.42842496802708e-07,6.57906345731324e-07,6.0051544254737e-07,4.28679409052299e-07,3.45924534536209e-06,3.75294371984821e-06,4.34020046654764e-06,3.93582849469666e-06,3.46556118659996e-05,-1.17783526036056e-06,-3.60484574949046e-06,-3.17095889393121e-06,-3.79197791531955e-07,-6.14654629186159e-07,-8.51310140241079e-07,-6.33419365184086e-07,-2.36630530257677e-07
-5.55059209736841e-06,-2.70385378490727e-09,1.28168324203304e-07,-2.14917313888963e-08,-4.23727640006365e-08,7.06625471969481e-08,1.336717133382e-07,1.87004383471487e-07,2.39238718309523e-07,2.77455251120058e-07,2.53884238784686e-07,1.98243004991032e-07,8.98306024419738e-08,-5.80278878563698e-07,-1.0600056090927e-06,-1.0888312580787e-06,-1.02310479736237e-06,-1.17783526036056e-06,1.19040623255367e-05,5.93876685925645e-06,5.94018244073444e-06,5.74813517289973e-06,2.60145578967857e-07,5.05325678851985e-07,8.46454470201126e-07,1.15361561554765e-06
-5.73654924825907e-06,-1.10490298266072e-08,2.49320121935801e-07,1.38613198875816e-09,1.06623592598596e-07,2.8788663031619e-07,3.63626849354856e-07,4.02560212523104e-07,4.71478716656617e-07,5.03740405591059e-07,4.46729432268655e-07,3.5851861195832e-07,2.04309878810178e-07,-5.26270189718026e-07,-1.53018275052319e-06,-2.88355107616329e-06,-1.85801003269272e-06,-3.60484574949046e-06,5.93876685925645e-06,1.29147075791981e-05,6.32727040582133e-06,5.88959852408477e-06,4.8849665208341e-07,8.84897317305735e-07,1.38563546171261e-06,1.83456823132611e-06
-6.34997649945343e-06,-2.91896203310879e-08,6.43126283303818e-07,5.93244511375428e-07,6.45394100197886e-07,7.70952533114707e-07,8.21075165363588e-07,8.70745483993498e-07,9.91389362288503e-07,1.08364692771829e-06,1.04395210027348e-06,9.50252742988006e-07,7.87571726685531e-07,-4.17647533878198e-07,-1.86391460587694e-06,-1.64742351630785e-06,-2.23389190498742e-06,-3.17095889393121e-06,5.94018244073444e-06,6.32727040582133e-06,1.32608715718321e-05,5.99209613981015e-06,6.28944643800727e-07,1.13770695925738e-06,1.68061565351562e-06,2.21259592289573e-06
-7.28379410286149e-06,-4.4125300670194e-08,7.81681301189846e-07,7.69562499829868e-07,1.06546678934082e-06,1.2712123411724e-06,1.27490213348347e-06,1.24072658971067e-06,1.36238382171675e-06,1.47754742933656e-06,1.43726189521769e-06,1.3228965357148e-06,1.10611766648686e-06,5.74804235323777e-07,-9.30713842981196e-07,3.970871176951e-07,-8.02119752301931e-07,-3.79197791531955e-07,5.74813517289973e-06,5.88959852408477e-06,5.99209613981015e-06,1.27447833835787e-05,7.57563324905621e-07,1.29973943618461e-06,1.90449336544131e-06,2.50756791267787e-06
-2.12362116486818e-06,8.09989835243839e-08,4.0797372342054e-07,3.19987134720805e-07,1.66762957245836e-07,1.3193807743943e-07,1.11540033070554e-07,6.00534581315737e-08,-3.61614832809098e-08,-1.70938759586511e-07,-3.2379374426065e-07,-4.74088217958827e-07,-5.75256448265753e-07,-3.64065195996654e-07,-2.891712455759e-07,-3.79292972351729e-07,-1.5601801902501e-07,-6.14654629186159e-07,2.60145578967857e-07,4.8849665208341e-07,6.28944643800727e-07,7.57563324905621e-07,7.64878339302596e-06,2.07017183079306e-06,2.28025520946878e-06,2.45991528640035e-06
-1.7609606950799e-06,1.03740126310599e-07,2.06200485952771e-07,-2.81360866752053e-08,-2.34792205183603e-07,-2.87878373775501e-07,-3.86377343819056e-07,-5.72199968737964e-07,-8.82928708829121e-07,-1.30463756209098e-06,-1.89066963941305e-06,-2.56305272750771e-06,-3.2746722259034e-06,-4.11242297690674e-07,-3.3986366464437e-07,-5.19990476921297e-07,-1.39751217852322e-07,-8.51310140241079e-07,5.05325678851985e-07,8.84897317305735e-07,1.13770695925738e-06,1.29973943618461e-06,2.07017183079306e-06,2.96431505833583e-05,3.27078284009098e-06,3.93607992468834e-06
-1.93560144632184e-06,-3.72315640393692e-08,2.56875355909006e-07,1.17609353561891e-07,-1.92601497657858e-08,-8.14377301691568e-08,-2.42586417112236e-07,-5.244510711682e-07,-1.06713361963043e-06,-1.92125836020573e-06,-3.28318752266645e-06,-5.16040335586341e-06,-7.7491360819827e-06,-2.0872075101599e-07,-2.12619680341482e-07,-3.59088019901358e-07,2.63832739611438e-08,-6.33419365184086e-07,8.46454470201126e-07,1.38563546171261e-06,1.68061565351562e-06,1.90449336544131e-06,2.28025520946878e-06,3.27078284009098e-06,0.000114938958033413,6.51610436127046e-06
-2.49914891401419e-06,-2.87852772113209e-08,3.53532434974407e-07,3.11323913849112e-07,2.87348083719427e-07,2.55055382913071e-07,1.85334705860813e-07,-3.88772061675867e-08,-5.13048289180462e-07,-1.57495843832072e-06,-3.68602763823753e-06,-7.14479992622274e-06,-1.3330574284319e-05,8.92784819107833e-08,-6.14317658543603e-08,-1.73023269897592e-07,2.16826428198351e-07,-2.36630530257677e-07,1.15361561554765e-06,1.83456823132611e-06,2.21259592289573e-06,2.50756791267787e-06,2.45991528640035e-06,3.93607992468834e-06,6.51610436127046e-06,0.00152545727351407
